20	0
25	4.6
31.5	3.5
40	0
50	0
63	0
80	0
100	0
125	0
160	0
200	-1.8
250	-3.6
315	-5.62
400	-7.7
500	-8.73
630	-9.8
800	-8.66
1000	-7.6
1250	-4.4
1600	-0.8
2000	2.4
2500	2.8
3150	2.8
4000	2.8
5000	2.8
6300	5.6
8000	6.9
10000	5.6
12500	2
16000	-0.1
20000	-0.1
